Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
BRN,Tura Sun,Unisex,001 BRN 99,Tura Sun 001 BRN 99,764724159283,99
GUN,Tura Sun,Unisex,001 GUN 99,Tura Sun 001 GUN 99,764724159290,99
PNK,Tura Sun,Female,002 PNK 55,Tura Sun 002 PNK 55,764724159214,55
BRN,Tura Sun,Female,003 BRN 60,Tura Sun 003 BRN 60,764724159481,60
BRP,Tura Sun,Female,003P BRP 60,Tura Sun 003P BRP 60,764724252403,60
GLD,Tura Sun,Female,004 GLD 60,Tura Sun 004 GLD 60,764724158484,60
GUN,Tura Sun,Female,004 GUN 60,Tura Sun 004 GUN 60,764724158491,60
GUP,Tura Sun,Female,005P GUP 60,Tura Sun 005P GUP 60,764724252427,60
ROP,Tura Sun,Female,005P ROP 60,Tura Sun 005P ROP 60,764724252410,60
BRN,Tura Sun,Female,006 BRN 60,Tura Sun 006 BRN 60,764724158552,60
EBO,Tura Sun,Female,006 EBO 60,Tura Sun 006 EBO 60,764724158545,60
TOR,Tura Sun,Female,007 TOR 56,Tura Sun 007 TOR 56,764724158392,56
PIN,Tura Sun,Female,008 PIN 57,Tura Sun 008 PIN 57,764724158477,57
GLD,Tura Sun,Female,009 GLD 59,Tura Sun 009 GLD 59,764724159245,59
GUN,Tura Sun,Female,009 GUN 59,Tura Sun 009 GUN 59,764724159238,59
BRN,Tura Sun,Female,011 BRN 59,Tura Sun 011 BRN 59,764724158439,59
GLD,Tura Sun,Female,011 GLD 59,Tura Sun 003P BRP 60,764724158415,59
GUN,Tura Sun,Female,011 GUN 59,Tura Sun 011 GUN 59,764724158422,59
COF,Tura Sun,Female,012 COF 58,Tura Sun 012 COF 58,764724248499,58
BLK,Tura Sun,Female,013 BLK 58,Tura Sun 013 BLK 58,764724248536,58
WHT,Tura Sun,Female,013 WHT 58,Tura Sun 013 WHT 58,764724248529,58
